,0
0,79.69999999999999
1,78.25000000000001
2,76.89999999999995
3,86.09999999999998
4,87.84999999999998
5,84.94999999999996
6,86.24999999999999
7,92.84999999999997
8,87.05000000000001
9,84.09999999999997
10,87.55000000000001
11,76.34999999999997
12,78.45
13,85.34999999999995
14,96.84999999999997
15,96.14999999999996
16,94.80000000000001
17,85.55
18,96.80000000000003
19,96.34999999999995
20,95.74999999999999
21,101.39999999999999
22,95.84999999999995
23,97.75
24,96.99999999999997
25,103.45
26,101.74999999999999
27,99.19999999999997
28,92.14999999999998
29,90.80000000000003
30,89.44999999999996
31,92.49999999999997
32,96.34999999999995
33,92.49999999999997
34,89.44999999999996
35,88.84999999999998
36,93.95
37,94.69999999999999
38,86.05
39,88.55000000000003
40,95.34999999999995
41,100.44999999999996
42,98.69999999999997
43,93.09999999999995
44,91.00000000000001
45,101.44999999999997
46,102.49999999999997
47,117.89999999999995
48,117.59999999999994
49,117.64999999999998
50,117.94999999999999
51,115.84999999999995
52,117.79999999999998
53,115.44999999999996
54,111.50000000000001
55,113.05000000000001
56,113.19999999999996
57,131.5
58,131.8
59,134.29999999999998
60,150.35
61,148.84999999999997
62,139.34999999999997
63,144.34999999999997
64,126.0
65,119.8
66,112.64999999999998
67,112.2
68,111.55
69,117.99999999999997
70,124.59999999999995
71,118.19999999999996
72,123.19999999999996
73,123.55000000000001
74,115.69999999999999
75,114.69999999999997
76,119.89999999999998
77,122.79999999999998
78,119.64999999999999
79,131.64999999999995
80,137.14999999999998
81,132.69999999999996
82,139.7
83,144.09999999999994
84,152.24999999999997
85,150.15
86,148.39999999999995
87,146.7
88,140.74999999999997
89,140.09999999999997
90,141.64999999999995
91,146.64999999999995
92,123.84999999999998
93,131.84999999999994
94,132.95
95,140.2
96,120.0
97,132.55
98,131.2
99,141.39999999999998
100,150.09999999999997
101,153.25
102,153.64999999999998
103,151.3
104,151.34999999999994
105,152.04999999999998
106,149.05
107,151.59999999999997
108,151.7
109,152.2
110,155.35
111,166.0
112,167.84999999999997
113,162.14999999999995
114,161.64999999999995
115,157.64999999999998
116,159.89999999999995
117,156.7
118,156.7
119,155.25
120,160.19999999999996
121,163.89999999999995
122,165.09999999999994
123,165.25
124,163.79999999999998
125,167.14999999999995
126,164.89999999999995
127,166.05000000000004
128,168.14999999999998
129,167.8
130,173.45
131,174.09999999999994
132,173.25
133,172.2
134,174.09999999999994
135,180.64999999999998
136,182.94999999999996
137,185.25
138,184.69999999999996
139,187.94999999999996
140,188.09999999999997
141,196.2
142,203.44999999999996
143,199.55
144,198.84999999999997
145,206.45
146,207.0
147,189.45
148,177.84999999999994
149,174.95
150,188.39999999999998
151,189.75
152,181.5
153,178.4
154,168.14999999999998
155,167.84999999999997
156,177.2
157,172.24999999999997
158,179.69999999999996
159,175.49999999999997
160,181.94999999999996
161,185.14999999999998
162,187.09999999999997
163,177.04999999999998
164,182.5
165,177.24999999999997
166,179.89999999999995
167,178.09999999999997
168,177.54999999999998
169,181.25000000000003
170,182.2
171,195.29999999999998
172,197.34999999999994
173,196.89999999999998
174,199.1
175,201.89999999999998
176,202.39999999999998
177,193.39999999999998
178,180.85
179,182.74999999999997
180,164.75
181,164.25
182,168.95
183,175.89999999999998
184,179.84999999999997
185,178.09999999999997
186,181.44999999999996
187,185.89999999999998
188,189.05
189,189.14999999999998
190,195.89999999999995
191,200.39999999999995
192,199.00000000000003
193,199.05
194,199.1
195,193.6
196,199.25
197,198.39999999999998
198,207.64999999999995
199,206.5
200,224.24999999999997
201,222.0
202,222.54999999999998
203,225.29999999999998
204,229.44999999999996
205,227.05
206,229.75
207,223.74999999999997
208,221.89999999999998
209,225.59999999999994
210,224.24999999999997
211,205.55
212,202.94999999999996
213,199.30000000000004
214,189.39999999999995
215,193.14999999999995
216,190.79999999999998
217,193.0
218,206.7
219,199.30000000000004
220,196.8
221,191.7
222,189.14999999999998
223,195.64999999999998
224,190.19999999999996
225,178.95
226,180.34999999999997
227,181.05000000000004
228,177.94999999999996
229,181.89999999999998
230,185.59999999999994
231,183.95
232,194.69999999999996
233,186.2
234,187.3
235,193.54999999999998
236,196.8
237,198.0
238,196.59999999999997
239,194.49999999999997
240,194.34999999999997
241,196.74999999999997
242,196.39999999999998
243,190.89999999999995
244,197.84999999999994
245,191.84999999999994
246,189.59999999999994
247,199.84999999999997
248,202.04999999999998
249,215.99999999999997
250,215.09999999999994
251,213.3
252,215.64999999999998
253,217.7
254,215.49999999999997
255,212.8
256,215.75
257,225.59999999999994
258,208.44999999999996
259,225.64999999999998
260,230.25
261,230.59999999999994
262,240.94999999999996
263,228.7
264,228.84999999999994
265,220.45
266,221.05
267,220.95
268,210.14999999999998
269,200.39999999999995
270,197.0
271,199.20000000000002
272,197.3
273,191.2
274,195.55
275,205.19999999999996
276,203.89999999999998
277,197.64999999999995
278,186.05
279,187.09999999999997
280,187.8
281,196.2
282,198.7
283,207.24999999999997
